RUN	perf.TestSimulation	testsimulation	1677066707717	 	3.0.3
USER	mainScenario	1	START	1677066709381	1677066709381
REQUEST	1	open	/webtours/	1677066709424	1677066709538	OK	 
REQUEST	1	open	/cgi-bin/welcome.pl	1677066709574	1677066709725	OK	 
REQUEST	1	open	/cgi-bin/nav.pl?in=home	1677066709739	1677066709948	OK	 
GROUP	1	open	1677066709391	1677066709962	474	OK
REQUEST	1	login	/cgi-bin/login.pl	1677066709965	1677066710095	OK	 
REQUEST	1	login	/cgi-bin/nav.pl?page=menu&in=home	1677066710097	1677066710280	OK	 
REQUEST	1	login	/cgi-bin/login.pl?intro=true	1677066710282	1677066710457	OK	 
REQUEST	1	login	/cgi-bin/welcome.pl?page=search	1677066710458	1677066710604	OK	 
REQUEST	1	login	/cgi-bin/nav.pl?page=menu&in=flights	1677066710606	1677066710716	OK	 
GROUP	1	login	1677066709963	1677066710717	744	OK
REQUEST	1	choice	/cgi-bin/reservations.pl?page=welcome	1677066710718	1677066710889	OK	 
REQUEST	1	choice	/cgi-bin/reservations.pl	1677066710891	1677066711102	OK	 
REQUEST	1	choice	/cgi-bin/reservations.pl	1677066711107	1677066711286	OK	 
REQUEST	1	choice	/cgi-bin/reservations.pl	1677066711290	1677066711430	OK	 
GROUP	1	choice	1677066710717	1677066711430	701	OK
REQUEST	1	basket	/cgi-bin/welcome.pl?page=itinerary	1677066711431	1677066711589	OK	 
REQUEST	1	basket	/cgi-bin/nav.pl?page=menu&in=itinerary	1677066711591	1677066711710	OK	 
REQUEST	1	basket	/cgi-bin/itinerary.pl	1677066711712	1677066712658	OK	 
GROUP	1	basket	1677066711430	1677066712658	1223	OK
REQUEST	1	singOff	/cgi-bin/cgi-bin/welcome.pl?signOff=1	1677066712659	1677066712781	OK	 
REQUEST	1	singOff	/cgi-bin/nav.pl?in=home	1677066712783	1677066712889	OK	 
GROUP	1	singOff	1677066712658	1677066712890	228	OK
USER	mainScenario	1	END	1677066709381	1677066712894
USER	mainScenario	2	START	1677066712895	1677066712895
REQUEST	2	open	/webtours/	1677066712896	1677066713071	OK	 
REQUEST	2	open	/cgi-bin/welcome.pl	1677066713073	1677066713179	OK	 
REQUEST	2	open	/cgi-bin/nav.pl?in=home	1677066713181	1677066713302	OK	 
GROUP	2	open	1677066712896	1677066713305	402	OK
REQUEST	2	login	/cgi-bin/login.pl	1677066713306	1677066713431	OK	 
REQUEST	2	login	/cgi-bin/nav.pl?page=menu&in=home	1677066713433	1677066713596	OK	 
REQUEST	2	login	/cgi-bin/login.pl?intro=true	1677066713598	1677066713709	OK	 
REQUEST	2	login	/cgi-bin/welcome.pl?page=search	1677066713711	1677066713820	OK	 
REQUEST	2	login	/cgi-bin/nav.pl?page=menu&in=flights	1677066713822	1677066713977	OK	 
GROUP	2	login	1677066713305	1677066713978	663	OK
REQUEST	2	choice	/cgi-bin/reservations.pl?page=welcome	1677066713979	1677066714139	OK	 
REQUEST	2	choice	/cgi-bin/reservations.pl	1677066714142	1677066714385	OK	 
REQUEST	2	choice	/cgi-bin/reservations.pl	1677066714387	1677066714550	OK	 
REQUEST	2	choice	/cgi-bin/reservations.pl	1677066714552	1677066714664	OK	 
GROUP	2	choice	1677066713978	1677066714666	678	OK
REQUEST	2	basket	/cgi-bin/welcome.pl?page=itinerary	1677066714667	1677066714879	OK	 
REQUEST	2	basket	/cgi-bin/nav.pl?page=menu&in=itinerary	1677066714881	1677066715043	OK	 
REQUEST	2	basket	/cgi-bin/itinerary.pl	1677066715045	1677066716196	OK	 
GROUP	2	basket	1677066714666	1677066716197	1525	OK
REQUEST	2	singOff	/cgi-bin/cgi-bin/welcome.pl?signOff=1	1677066716198	1677066716445	OK	 
REQUEST	2	singOff	/cgi-bin/nav.pl?in=home	1677066716447	1677066716608	OK	 
GROUP	2	singOff	1677066716197	1677066716609	408	OK
USER	mainScenario	2	END	1677066712895	1677066716609
USER	mainScenario	3	START	1677066716610	1677066716610
REQUEST	3	open	/webtours/	1677066716611	1677066716725	OK	 
REQUEST	3	open	/cgi-bin/welcome.pl	1677066716727	1677066716872	OK	 
REQUEST	3	open	/cgi-bin/nav.pl?in=home	1677066716874	1677066717019	OK	 
GROUP	3	open	1677066716611	1677066717020	404	OK
REQUEST	3	login	/cgi-bin/login.pl	1677066717021	1677066717182	OK	 
REQUEST	3	login	/cgi-bin/nav.pl?page=menu&in=home	1677066717184	1677066717326	OK	 
REQUEST	3	login	/cgi-bin/login.pl?intro=true	1677066717328	1677066717437	OK	 
REQUEST	3	login	/cgi-bin/welcome.pl?page=search	1677066717439	1677066717597	OK	 
REQUEST	3	login	/cgi-bin/nav.pl?page=menu&in=flights	1677066717598	1677066717762	OK	 
GROUP	3	login	1677066717020	1677066717762	734	OK
REQUEST	3	choice	/cgi-bin/reservations.pl?page=welcome	1677066717763	1677066717865	OK	 
REQUEST	3	choice	/cgi-bin/reservations.pl	1677066717868	1677066718006	OK	 
REQUEST	3	choice	/cgi-bin/reservations.pl	1677066718009	1677066718171	OK	 
REQUEST	3	choice	/cgi-bin/reservations.pl	1677066718173	1677066718332	OK	 
GROUP	3	choice	1677066717763	1677066718333	561	OK
REQUEST	3	basket	/cgi-bin/welcome.pl?page=itinerary	1677066718334	1677066718482	OK	 
REQUEST	3	basket	/cgi-bin/nav.pl?page=menu&in=itinerary	1677066718483	1677066718593	OK	 
REQUEST	3	basket	/cgi-bin/itinerary.pl	1677066718594	1677066721458	OK	 
GROUP	3	basket	1677066718334	1677066721459	3122	OK
REQUEST	3	singOff	/cgi-bin/cgi-bin/welcome.pl?signOff=1	1677066721460	1677066721544	OK	 
REQUEST	3	singOff	/cgi-bin/nav.pl?in=home	1677066721545	1677066721648	OK	 
GROUP	3	singOff	1677066721459	1677066721649	187	OK
USER	mainScenario	3	END	1677066716610	1677066721649
USER	mainScenario	4	START	1677066721650	1677066721650
REQUEST	4	open	/webtours/	1677066721651	1677066721796	OK	 
REQUEST	4	open	/cgi-bin/welcome.pl	1677066721797	1677066721896	OK	 
REQUEST	4	open	/cgi-bin/nav.pl?in=home	1677066721898	1677066722001	OK	 
GROUP	4	open	1677066721651	1677066722002	347	OK
REQUEST	4	login	/cgi-bin/login.pl	1677066722003	1677066722124	OK	 
REQUEST	4	login	/cgi-bin/nav.pl?page=menu&in=home	1677066722125	1677066722221	OK	 
REQUEST	4	login	/cgi-bin/login.pl?intro=true	1677066722222	1677066722344	OK	 
REQUEST	4	login	/cgi-bin/welcome.pl?page=search	1677066722346	1677066722510	OK	 
REQUEST	4	login	/cgi-bin/nav.pl?page=menu&in=flights	1677066722512	1677066722611	OK	 
GROUP	4	login	1677066722002	1677066722612	602	OK
REQUEST	4	choice	/cgi-bin/reservations.pl?page=welcome	1677066722613	1677066722778	OK	 
REQUEST	4	choice	/cgi-bin/reservations.pl	1677066722780	1677066722939	OK	 
REQUEST	4	choice	/cgi-bin/reservations.pl	1677066722941	1677066723192	OK	 
REQUEST	4	choice	/cgi-bin/reservations.pl	1677066723194	1677066723350	OK	 
GROUP	4	choice	1677066722612	1677066723351	731	OK
REQUEST	4	basket	/cgi-bin/welcome.pl?page=itinerary	1677066723352	1677066723470	OK	 
REQUEST	4	basket	/cgi-bin/nav.pl?page=menu&in=itinerary	1677066723472	1677066723597	OK	 
REQUEST	4	basket	/cgi-bin/itinerary.pl	1677066723599	1677066724504	OK	 
GROUP	4	basket	1677066723351	1677066724505	1148	OK
REQUEST	4	singOff	/cgi-bin/cgi-bin/welcome.pl?signOff=1	1677066724506	1677066724592	OK	 
REQUEST	4	singOff	/cgi-bin/nav.pl?in=home	1677066724593	1677066724719	OK	 
GROUP	4	singOff	1677066724505	1677066724720	212	OK
USER	mainScenario	4	END	1677066721650	1677066724720
USER	mainScenario	5	START	1677066724720	1677066724720
REQUEST	5	open	/webtours/	1677066724722	1677066724830	OK	 
REQUEST	5	open	/cgi-bin/welcome.pl	1677066724832	1677066724925	OK	 
REQUEST	5	open	/cgi-bin/nav.pl?in=home	1677066724927	1677066725038	OK	 
GROUP	5	open	1677066724721	1677066725039	312	OK
REQUEST	5	login	/cgi-bin/login.pl	1677066725039	1677066725159	OK	 
REQUEST	5	login	/cgi-bin/nav.pl?page=menu&in=home	1677066725160	1677066725262	OK	 
REQUEST	5	login	/cgi-bin/login.pl?intro=true	1677066725263	1677066725414	OK	 
REQUEST	5	login	/cgi-bin/welcome.pl?page=search	1677066725416	1677066725572	OK	 
REQUEST	5	login	/cgi-bin/nav.pl?page=menu&in=flights	1677066725574	1677066725697	OK	 
GROUP	5	login	1677066725039	1677066725698	652	OK
REQUEST	5	choice	/cgi-bin/reservations.pl?page=welcome	1677066725699	1677066725828	OK	 
REQUEST	5	choice	/cgi-bin/reservations.pl	1677066725830	1677066725972	OK	 
REQUEST	5	choice	/cgi-bin/reservations.pl	1677066725974	1677066726106	OK	 
REQUEST	5	choice	/cgi-bin/reservations.pl	1677066726108	1677066726240	OK	 
GROUP	5	choice	1677066725698	1677066726241	535	OK
REQUEST	5	basket	/cgi-bin/welcome.pl?page=itinerary	1677066726242	1677066726346	OK	 
REQUEST	5	basket	/cgi-bin/nav.pl?page=menu&in=itinerary	1677066726348	1677066726434	OK	 
REQUEST	5	basket	/cgi-bin/itinerary.pl	1677066726435	1677066727164	OK	 
GROUP	5	basket	1677066726241	1677066727165	919	OK
REQUEST	5	singOff	/cgi-bin/cgi-bin/welcome.pl?signOff=1	1677066727166	1677066727248	OK	 
REQUEST	5	singOff	/cgi-bin/nav.pl?in=home	1677066727250	1677066727385	OK	 
GROUP	5	singOff	1677066727165	1677066727386	217	OK
USER	mainScenario	5	END	1677066724720	1677066727386
USER	mainScenario	6	START	1677066727387	1677066727387
REQUEST	6	open	/webtours/	1677066727388	1677066727499	OK	 
REQUEST	6	open	/cgi-bin/welcome.pl	1677066727500	1677066727609	OK	 
REQUEST	6	open	/cgi-bin/nav.pl?in=home	1677066727611	1677066727807	OK	 
GROUP	6	open	1677066727388	1677066727808	416	OK
REQUEST	6	login	/cgi-bin/login.pl	1677066727809	1677066727959	OK	 
REQUEST	6	login	/cgi-bin/nav.pl?page=menu&in=home	1677066727961	1677066728066	OK	 
REQUEST	6	login	/cgi-bin/login.pl?intro=true	1677066728068	1677066728209	OK	 
REQUEST	6	login	/cgi-bin/welcome.pl?page=search	1677066728210	1677066728333	OK	 
REQUEST	6	login	/cgi-bin/nav.pl?page=menu&in=flights	1677066728334	1677066728462	OK	 
GROUP	6	login	1677066727808	1677066728463	647	OK
REQUEST	6	choice	/cgi-bin/reservations.pl?page=welcome	1677066728464	1677066728670	OK	 
REQUEST	6	choice	/cgi-bin/reservations.pl	1677066728672	1677066728818	OK	 
REQUEST	6	choice	/cgi-bin/reservations.pl	1677066728820	1677066729028	OK	 
REQUEST	6	choice	/cgi-bin/reservations.pl	1677066729029	1677066729207	OK	 
GROUP	6	choice	1677066728463	1677066729208	738	OK
REQUEST	6	basket	/cgi-bin/welcome.pl?page=itinerary	1677066729209	1677066729379	OK	 
REQUEST	6	basket	/cgi-bin/nav.pl?page=menu&in=itinerary	1677066729380	1677066729522	OK	 
REQUEST	6	basket	/cgi-bin/itinerary.pl	1677066729523	1677066730838	OK	 
GROUP	6	basket	1677066729208	1677066730838	1627	OK
REQUEST	6	singOff	/cgi-bin/cgi-bin/welcome.pl?signOff=1	1677066730839	1677066730974	OK	 
REQUEST	6	singOff	/cgi-bin/nav.pl?in=home	1677066730975	1677066731179	OK	 
GROUP	6	singOff	1677066730838	1677066731180	339	OK
USER	mainScenario	6	END	1677066727387	1677066731180
USER	mainScenario	7	START	1677066731180	1677066731180
REQUEST	7	open	/webtours/	1677066731182	1677066731285	OK	 
REQUEST	7	open	/cgi-bin/welcome.pl	1677066731287	1677066731430	OK	 
REQUEST	7	open	/cgi-bin/nav.pl?in=home	1677066731431	1677066731576	OK	 
GROUP	7	open	1677066731181	1677066731577	391	OK
